Nom;Prenom;Conflit;Date deces;Departement de naissance;Nom departement de naissance
ABDALLAH;Ben Abdesselem;1914-1918;26/09/1918;9350;Maroc
ABDALLAH;Ben Mohamed;1914-1918;17/01/1917;9350;Maroc
ABDELKADER;Ben Larbi;1914-1918;25/12/1914;9350;Maroc
ABDERRAHMAN;Ben Ahmed;1914-1918;12/05/1916;9350;Maroc
ABDERRAHMAN;Ben Mohamed;1914-1918;28/06/1918;9350;Maroc
ABDESSELEM;;1914-1918;14/10/1915;9350;Maroc
ABDESSELEM;Ben Abdelkader;1914-1918;31/12/1915;9350;Maroc
AHMED;Bel Arabi;1914-1918;06/05/1915;9350;Maroc
AHMED;Ben Abdallah;1914-1918;05/06/1917;9350;Maroc
AHMED;Ben Abderrahmann;1914-1918;05/02/1917;9350;Maroc
AHMED;Ben Allal;1914-1918;16/06/1915;9350;Maroc
AHMED;Ben Amar;1914-1918;05/09/1914;9350;Maroc
AHMED;Ben Hammou;1914-1918;01/06/1915;9350;Maroc
AHMED;Ben Kaddour;1914-1918;12/10/1918;9350;Maroc
AHMED;Ben Nacem;1914-1918;13/10/1915;9350;Maroc
AHMED;Ben Naceur;1914-1918;13/10/1915;9350;Maroc
AHMED;Lyazid;1914-1918;18/07/1918;9350;Maroc
AeSSA;Ben Kassem;1914-1918;18/08/1917;9350;Maroc
ALLAL;Ben Mohammed;1914-1918;29/10/1914;9350;Maroc
AOMAR;Belkchaf Ben Bacloi;1914-1918;29/04/1915;9350;Maroc
AOMAR;Ben Rabah;1914-1918;07/09/1914;9350;Maroc
ASSOU;Ben Zaemi;1914-1918;05/01/1916;9350;Maroc
AZOUZ;Ben Ali;1914-1918;26/05/1915;9350;Maroc
BARCK;Ben Hadj;1914-1918;29/12/1918;9350;Maroc
BELKREIR;Ben Abdallah;1914-1918;25/09/1918;9350;Maroc
BEN AeSSA;Ben Mogguadem;1914-1918;30/12/1919;9350;Maroc
BOUCHAeB;Ben Amor;1914-1918;06/09/1914;9350;Maroc
BOUCHAeB;Ben Brahim;1914-1918;28/06/1918;9350;Maroc
BOUCHAeB;Ben Tahar;1914-1918;11/08/1918;9350;Maroc
BOUCHTA;Ben Ali;1914-1918;10/08/1918;9350;Maroc
BOUDALI;Ben M'Barek;1914-1918;05/09/1914;9350;Maroc
BRAHIM;Ben Mohamed;1914-1918;02/09/1916;9350;Maroc
DAHAN;Ben Rahal;1914-1918;06/10/1914;9350;Maroc
DAOUI;Ben Abderrahman;1914-1918;18/07/1918;9350;Maroc
DJILALI;Ben Ahmed;1914-1918;;9350;Maroc
DJILALI;Ben Azouzy;1914-1918;05/05/1915;9350;Maroc
DJILLALI;Ben Mohamed;1914-1918;23/12/1918;9350;Maroc
EL MAATI;Ben Bouchaeb;1914-1918;23/05/1916;9350;Maroc
EL MAATI;Ben Larbi;1914-1918;05/05/1915;9350;Maroc
EMBARECK;Ben Lhassen;1914-1918;16/04/1916;9350;Maroc
FEDDOUL;Ben Mohamed;1914-1918;03/05/1916;9350;Maroc
HACHEMI;El Mesloli ?;1914-1918;22/10/1916;9350;Maroc
HAMOU;Ben Mohamed;1914-1918;17/06/1915;9350;Maroc
HAOUSSINE;Ben Mohamed;1914-1918;05/09/1914;9350;Maroc
HEMMOU;Ould Mohamed;1914-1918;11/09/1914;9350;Maroc
HOUSSEINE;Ben Mohamed;1914-1918;08/08/1918;9350;Maroc
KADDOUR;Ben Mohamed;1914-1918;06/09/1915;9350;Maroc
KHAMMAR;ben Bouchta;1914-1918;25/03/1919;9350;Maroc
LAHOUCINE;Ben Mohamed;1914-1918;27/11/1915;9350;Maroc
LAHOUSSINE;Ben Mohamed;1914-1918;31/08/1918;9350;Maroc
LARBI;Ben Bouchaeb;1914-1918;16/09/1914;9350;Maroc
LHASSEN;Ben Abderrahman;1914-1918;15/04/1919;9350;Maroc
LHASSEN;Ben Omar;1914-1918;24/05/1916;9350;Maroc
M'BAREK;Ben Ahmed;1914-1918;17/12/1915;9350;Maroc
MAHJOUB;Ben Hamadi;1914-1918;30/04/1915;9350;Maroc
MAHOMED;Ben Messaoud;1914-1918;15/09/1917;9350;Maroc
MALEK;Ben Lhassen;1914-1918;05/09/1914;9350;Maroc
MEKKI;Ben Mansour;1914-1918;05/05/1915;9350;Maroc
MESSAOUD;Ben Farradji;1914-1918;15/07/1918;9350;Maroc
MILOUDI;Ben Ahmed;1914-1918;06/05/1919;9350;Maroc
MOHAMED;Bel Hadj Mohamed;1914-1918;03/09/1917;9350;Maroc
MOHAMED;Ben Abdallah;1914-1918;21/08/1918;9350;Maroc
MOHAMED;Ben Abdelkader;1914-1918;06/09/1915;9350;Maroc
MOHAMED;Ben Abderrhaman;1914-1918;12/11/1916;9350;Maroc
MOHAMED;Ben Ahmed;1914-1918;18/07/1918;9350;Maroc
MOHAMED;Ben Ahmed;1914-1918;19/04/1917;9350;Maroc
MOHAMED;Ben Ali Ben Abderrahman;1914-1918;08/02/1917;9350;Maroc
MOHAMED;Ben Brahim;1914-1918;02/05/1916;9350;Maroc
MOHAMED;Ben Djillali;1914-1918;11/09/1914;9350;Maroc
MOHAMED;Ben Djillali;1914-1918;27/08/1916;9350;Maroc
MOHAMED;Ben Driss;1914-1918;19/05/1916;9350;Maroc
MOHAMED;Ben El Matti;1914-1918;16/09/1914;9350;Maroc
MOHAMED;Ben Haddi;1914-1918;05/05/1915;9350;Maroc
MOHAMED;Ben Haddouch;1914-1918;13/11/1918;9350;Maroc
MOHAMED;Ben Hadj;1914-1918;31/03/1916;9350;Maroc
MOHAMED;Ben Hadj Ali;1914-1918;30/12/1918;9350;Maroc
MOHAMED;Ben Hadjadj;1914-1918;17/06/1918;9350;Maroc
MOHAMED;Ben Hamou;1914-1918;08/09/1916;9350;Maroc
MOHAMED;Ben Kacem;1914-1918;16/06/1915;9350;Maroc
MOHAMED;Ben Lachemi El Abdi;1914-1918;20/05/1916;9350;Maroc
MOHAMED;Ben Lahoucine;1914-1918;29/05/1915;9350;Maroc
MOHAMED;Ben Larbi;1914-1918;06/10/1915;9350;Maroc
MOHAMED;Ben Lhassen;1914-1918;05/05/1915;9350;Maroc
MOHAMED;Ben Lhassen;1914-1918;01/10/1918;9350;Maroc
MOHAMED;Ben Lhassen;1914-1918;21/07/1915;9350;Maroc
MOHAMED;ben M'Barek;1914-1918;30/05/1915;9350;Maroc
MOHAMED;Ben M'Hamed;1914-1918;11/10/1916;9350;Maroc
MOHAMED;Ben Minjou;1914-1918;25/09/1914;9350;Maroc
MOHAMED;Ben Saed;1914-1918;06/10/1915;9350;Maroc
MOHAMED;Ben Saed Ould Mohamed;1914-1918;21/10/1918;9350;Maroc
MOHAMED;Ben Sedeck;1914-1918;05/06/1917;9350;Maroc
MOHAMED;Ben Tahar;1914-1918;06/10/1915;9350;Maroc
MOHAMED;Ben Taebi;1914-1918;28/06/1918;9350;Maroc
MOHAMMED;Ben Hadj;1914-1918;17/06/1918;9350;Maroc
MOHAMMED;Ben Sidi Mohammed El Homari El Bakkal;1914-1918;18/08/1917;9350;Maroc
MUSTAPHA;Ben M'Ahmed;1914-1918;19/07/1918;9350;Maroc
OMAR;Ben Ahmed Ben Ouakrine;1914-1918;15/07/1916;9350;Maroc
OUARTASSI;Mohamed Ould Belaid;1914-1918;25/12/1914;9350;Maroc
REGRAGUI;Ben Abdallah;1914-1918;01/09/1918;9350;Maroc
SAeD;Ben Bachir;1914-1918;28/01/1918;9350;Maroc
SAeD;Ben Mohamed;1914-1918;10/08/1918;9350;Maroc
SALAH;Ben Taoussi;1914-1918;27/09/1918;9350;Maroc
SALAH;El Kaddir;1914-1918;06/10/1918;9350;Maroc
SALEM;Ben Billal;1914-1918;30/09/1918;9350;Maroc
SEDDEK;Ben Fathmi;1914-1918;23/04/1917;9350;Maroc
SI MOHAMED;Ben Mohamed;1914-1918;06/12/1916;9350;Maroc
SLIMAN;Ben Mohamed;1914-1918;01/05/1915;9350;Maroc
SMAIN;Ben Mohamed El Softi;1914-1918;03/06/1918;9350;Maroc
TAHAMI;Ben Ahmidi;1914-1918;07/10/1918;9350;Maroc
TAHAR;Ben Bouaza;1914-1918;26/05/1915;9350;Maroc
TAHAR;Ben Djilali;1914-1918;13/01/1915;9350;Maroc
TAHAR;Ben Mohamed;1914-1918;29/05/1915;9350;Maroc
TAeEB;Ben L'Hadj;1914-1918;06/10/1915;9350;Maroc
TAeEBI;Ben Salah;1914-1918;25/05/1917;9350;Maroc
THAMI;Ben Abdesselem;1914-1918;03/09/1917;9350;Maroc
ABBeS;Ben M'Hamed;1914-1918;11/10/1914;9350;Maroc
ABDALLAH;Ben Ahmed;1914-1918;06/10/1915;9350;Maroc
ABDALLAH;Ben Djahia;1914-1918;11/09/1914;9350;Maroc
ABDALLAH;Ben Djillali;1914-1918;30/04/1916;9350;Maroc
ABDALLAH;Ben Farradj;1914-1918;;9350;Maroc
ABDEL KADER;Ben Tayeb;1914-1918;16/03/1919;9350;Maroc
ABDELKADER;Ben Driss;1914-1918;15/05/1918;9350;Maroc
ABDELKADER;Ould Amar;1914-1918;05/03/1917;9350;Maroc
ABDENDI;Ben Djillali;1914-1918;20/08/1918;9350;Maroc
ABDERRAHMAN;Ben Hamou;1914-1918;22/11/1915;9350;Maroc
ABDESSALEM;Ben Ali;1914-1918;30/09/1918;9350;Maroc
